topic,electome,flotus,potus,whitehouse
Drugs,0.0021824410235989425,0,0,0
Guns,0.10403252109255705,0.04065040650406504,0.2222222222222222,0.08891838088918382
Economy,0.03635118641740198,0.024390243902439025,0.044444444444444446,0.062375580623755804
Racial Issues,0.042323992538570915,0.024390243902439025,0,0.013934970139349702
Political Theory,0.1399135646798898,0,0.06666666666666667,0.014598540145985401
Veterans,0.016604613439425205,0.3983739837398374,0,0.027869940278699403
Trade,0.009084280149552383,0,0,0.021234240212342402
Education,0.00378152372550617,0.024390243902439025,0.022222222222222223,0.0112806901128069
Financial Regulation,0.006982100412610759,0,0,0.0006635700066357001
LGBT Issues,0.022041655378129122,0.008130081300813009,0,0.0092899800928998
Foreign Policy/National Security,0.26341943738904866,0.35772357723577236,0.15555555555555556,0.27538155275381554
Surveillance/Privacy,0.008618041301952893,0.008130081300813009,0,0.0019907100199071004
Environment/Energy,0.0257488886136964,0.032520325203252036,0.044444444444444446,0.10484406104844061
Seniors/Social Security,0.0026944942537109793,0,0.022222222222222223,0.0026542800265428003
Women/Gender Issues,0.05509713424148003,0.024390243902439025,0.044444444444444446,0.0245520902455209
Business/Entrepreneurship,0.007620114488878845,0,0.022222222222222223,0.025215660252156602
Budget/Taxation,0.05896908109036623,0,0,0.019243530192435302
Income Inequality,0.0031348405116949822,0.008130081300813009,0.044444444444444446,0.017916390179163903
Justice,0.04532695881889833,0.008130081300813009,0.08888888888888889,0.11745189117451892
Health Care,0.032874804851111585,0.016260162601626018,0.1111111111111111,0.0630391506303915
Immigration,0.0950019207019636,0.008130081300813009,0.022222222222222223,0.021897810218978103
Jobs/Employment,0.018196404879955122,0.016260162601626018,0.08888888888888889,0.0756469807564698
